City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Bengaluru,few clouds,22.19,22.32000000000005,21.73000000000001,24.08000000000004,1012,71,4.63,2025-01-22 19:24:25,2025-01-22 06:46:14,2025-01-22 18:15:40
Bengaluru,few clouds,20.94,21.15000000000003,20.620000000000005,21.390000000000043,1013,79,4.63,2025-01-22 20:51:47,2025-01-22 06:46:14,2025-01-22 18:15:40
Bengaluru,few clouds,20.94,21.15000000000003,20.620000000000005,21.390000000000043,1013,79,4.63,2025-01-22 20:56:51,2025-01-22 06:46:14,2025-01-22 18:15:40
Bengaluru,mist,20.32000000000005,20.600000000000023,19.80000000000001,20.90000000000003,1014,84,2.57,2025-01-22 21:12:10,2025-01-22 06:46:14,2025-01-22 18:15:40
Bengaluru,mist,20.32000000000005,20.57000000000005,19.80000000000001,20.90000000000004,1014,83,2.57,2025-01-22 21:15:16,2025-01-22 06:46:14,2025-01-22 18:15:40
Bengaluru,overcast clouds,25.49000000000001,26.160000000000025,24.620000000000005,25.49000000000001,1007,79,6.11,2025-05-20 11:21:17,2025-05-20 05:53:23,2025-05-20 18:39:06
Bengaluru,overcast clouds,24.96000000000004,25.680000000000007,22.840000000000032,25.180000000000007,1007,83,6.11,2025-05-20 11:36:38,2025-05-20 05:53:23,2025-05-20 18:39:06
Bengaluru,overcast clouds,25.180000000000007,25.970000000000027,25.180000000000007,25.28000000000003,1007,85,6.11,2025-05-20 11:46:45,2025-05-20 05:53:23,2025-05-20 18:39:06
