City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Hyderabad,haze,26.23000000000001,26.23000000000001,24.73000000000001,26.23000000000001,1012,44,3.09,2025-01-22 19:21:14,2025-01-22 06:49:28,2025-01-22 18:05:29
Hyderabad,haze,24.23000000000001,24.010000000000048,21.73000000000001,24.23000000000001,1013,50,3.6,2025-01-22 20:48:04,2025-01-22 06:49:28,2025-01-22 18:05:29
Hyderabad,haze,24.23000000000001,24.010000000000048,21.73000000000001,24.23000000000001,1013,50,3.6,2025-01-22 20:53:14,2025-01-22 06:49:28,2025-01-22 18:05:29
Hyderabad,haze,24.23000000000001,24.010000000000048,24.23000000000001,24.23000000000001,1014,50,2.06,2025-01-22 21:10:01,2025-01-22 06:49:28,2025-01-22 18:05:29
Hyderabad,haze,24.23000000000001,24.010000000000048,24.23000000000001,24.23000000000001,1014,50,2.06,2025-01-22 21:14:02,2025-01-22 06:49:28,2025-01-22 18:05:29
Hyderabad,overcast clouds,31.30000000000001,32.150000000000034,31.30000000000001,31.30000000000001,1005,45,4.45,2025-05-20 11:20:08,2025-05-20 05:42:55,2025-05-20 18:42:37
Hyderabad,overcast clouds,31.30000000000001,32.150000000000034,31.30000000000001,31.30000000000001,1005,45,4.45,2025-05-20 11:38:40,2025-05-20 05:42:55,2025-05-20 18:42:37
Hyderabad,overcast clouds,31.30000000000001,32.150000000000034,31.30000000000001,31.30000000000001,1005,45,4.45,2025-05-20 11:49:03,2025-05-20 05:42:55,2025-05-20 18:42:37
