City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Delhi,haze,18.05000000000001,17.560000000000002,18.05000000000001,18.05000000000001,1013,63,1.54,2025-01-22 19:22:50,2025-01-22 07:13:31,2025-01-22 17:51:29
Delhi,haze,17.05000000000001,16.689999999999998,17.05000000000001,17.05000000000001,1013,72,0.0,2025-01-22 20:47:46,2025-01-22 07:13:31,2025-01-22 17:51:29
Delhi,haze,17.05000000000001,16.689999999999998,17.05000000000001,17.05000000000001,1013,72,0.0,2025-01-22 20:52:50,2025-01-22 07:13:31,2025-01-22 17:51:29
Delhi,haze,17.05000000000001,16.689999999999998,17.05000000000001,17.05000000000001,1014,72,0.0,2025-01-22 21:13:17,2025-01-22 07:13:31,2025-01-22 17:51:29
Delhi,haze,17.05000000000001,16.689999999999998,17.05000000000001,17.05000000000001,1014,72,0.0,2025-01-22 21:13:43,2025-01-22 07:13:31,2025-01-22 17:51:29
Delhi,clear sky,36.69,34.55000000000001,36.69,36.69,1000,17,0.92,2025-05-20 11:19:42,2025-05-20 05:27:50,2025-05-20 19:07:45
Delhi,clear sky,36.69,34.55000000000001,36.69,36.69,1000,17,0.92,2025-05-20 11:37:29,2025-05-20 05:27:50,2025-05-20 19:07:45
Delhi,clear sky,36.69,34.55000000000001,36.69,36.69,1000,17,0.92,2025-05-20 11:47:58,2025-05-20 05:27:50,2025-05-20 19:07:45
