City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Kolkata,haze,23.970000000000027,23.81,23.970000000000027,23.970000000000027,1012,53,0.0,2025-01-22 19:24:32,2025-01-22 06:18:14,2025-01-22 17:17:31
Kolkata,haze,20.970000000000027,20.90000000000003,20.970000000000027,20.970000000000027,1012,68,0.0,2025-01-22 20:48:23,2025-01-22 06:18:14,2025-01-22 17:17:31
Kolkata,haze,20.970000000000027,20.90000000000003,20.970000000000027,20.970000000000027,1012,68,0.0,2025-01-22 20:54:11,2025-01-22 06:18:14,2025-01-22 17:17:31
Kolkata,haze,19.970000000000027,19.930000000000007,19.970000000000027,19.970000000000027,1013,73,0.0,2025-01-22 21:10:07,2025-01-22 06:18:14,2025-01-22 17:17:31
Kolkata,haze,19.970000000000027,19.930000000000007,19.970000000000027,19.970000000000027,1013,73,0.0,2025-01-22 21:15:12,2025-01-22 06:18:14,2025-01-22 17:17:31
Kolkata,scattered clouds,36.71000000000004,41.80000000000001,36.71000000000004,36.71000000000004,1005,43,5.03,2025-05-20 11:18:24,2025-05-20 04:54:34,2025-05-20 18:11:48
Kolkata,scattered clouds,36.71000000000004,41.80000000000001,36.71000000000004,36.71000000000004,1005,43,5.03,2025-05-20 11:39:07,2025-05-20 04:54:34,2025-05-20 18:11:48
Kolkata,scattered clouds,36.710000000000036,41.80000000000001,36.710000000000036,36.710000000000036,1005,43,5.03,2025-05-20 11:49:37,2025-05-20 04:54:34,2025-05-20 18:11:48
