City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Chennai,mist,25.55000000000001,26.28000000000003,25.010000000000048,25.99000000000001,1012,81,3.6,2025-01-22 19:22:13,2025-01-22 06:35:42,2025-01-22 18:04:48
Chennai,mist,25.0,25.75,24.44,25.129999999999995,1013,84,2.06,2025-01-22 20:47:45,2025-01-22 06:35:42,2025-01-22 18:04:48
Chennai,mist,25.0,25.75,24.44,25.05000000000001,1013,84,2.06,2025-01-22 20:52:50,2025-01-22 06:35:42,2025-01-22 18:04:48
Chennai,mist,24.94,25.71000000000004,24.44,25.05000000000001,1013,85,2.06,2025-01-22 21:11:24,2025-01-22 06:35:42,2025-01-22 18:04:48
Chennai,mist,24.94,25.71000000000004,24.44,25.05000000000001,1013,85,2.06,2025-01-22 21:13:50,2025-01-22 06:35:42,2025-01-22 18:04:48
Chennai,overcast clouds,32.75,39.75,31.670000000000016,33.34000000000003,1003,77,1.34,2025-05-20 11:18:00,2025-05-20 05:42:31,2025-05-20 18:28:34
Chennai,overcast clouds,33.129999999999995,40.13,32.27000000000004,33.34000000000003,1003,76,1.34,2025-05-20 11:38:55,2025-05-20 05:42:31,2025-05-20 18:28:34
Chennai,overcast clouds,32.93000000000001,39.93000000000001,32.27000000000004,33.34000000000003,1003,75,1.34,2025-05-20 11:50:33,2025-05-20 05:42:31,2025-05-20 18:28:34
