City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Mumbai,smoke,26.99000000000001,27.860000000000017,26.99000000000001,26.99000000000001,1010,57,2.06,2025-01-22 19:20:35,2025-01-22 07:14:33,2025-01-22 18:25:25
Mumbai,smoke,26.99000000000001,27.660000000000025,26.99000000000001,26.99000000000001,1011,54,2.57,2025-01-22 20:50:42,2025-01-22 07:14:33,2025-01-22 18:25:25
Mumbai,smoke,26.99000000000001,27.660000000000025,26.99000000000001,26.99000000000001,1011,54,2.57,2025-01-22 20:56:31,2025-01-22 07:14:33,2025-01-22 18:25:25
Mumbai,smoke,26.99000000000001,27.660000000000025,26.99000000000001,26.99000000000001,1012,54,2.57,2025-01-22 21:12:05,2025-01-22 07:14:33,2025-01-22 18:25:25
Mumbai,smoke,25.99000000000001,25.99000000000001,25.99000000000001,25.99000000000001,1012,53,2.06,2025-01-22 21:17:14,2025-01-22 07:14:33,2025-01-22 18:25:25
Mumbai,overcast clouds,30.5,37.410000000000025,30.5,30.5,1005,74,3.43,2025-05-20 11:20:52,2025-05-20 06:02:43,2025-05-20 19:07:49
Mumbai,overcast clouds,30.5,37.410000000000025,30.5,30.5,1005,74,3.43,2025-05-20 11:38:07,2025-05-20 06:02:43,2025-05-20 19:07:49
Mumbai,overcast clouds,30.5,37.410000000000025,30.5,30.5,1005,74,3.43,2025-05-20 11:48:44,2025-05-20 06:02:43,2025-05-20 19:07:49
