City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Bengaluru,scattered clouds,27.81,29.49000000000001,25.73000000000001,30.200000000000045,1011,63,6.17,2024-06-16 18:41:03,2024-06-16 05:53:46,2024-06-16 18:46:55
Bengaluru,scattered clouds,27.44,29.220000000000027,24.620000000000005,29.640000000000043,1012,66,4.12,2024-06-16 19:17:03,2024-06-16 05:53:46,2024-06-16 18:46:55
Bengaluru,scattered clouds,26.96000000000004,28.629999999999995,24.06,29.640000000000043,1012,68,4.12,2024-06-16 20:14:06,2024-06-16 05:53:46,2024-06-16 18:46:55
Bengaluru,scattered clouds,26.850000000000023,28.53000000000003,25.900000000000034,27.700000000000045,1014,69,2.57,2024-06-17 09:53:13,2024-06-17 05:53:56,2024-06-17 18:47:10
