City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Delhi,haze,43.05000000000001,42.64000000000004,43.05000000000001,43.05000000000001,998,17,4.12,2024-06-16 18:45:03,2024-06-16 05:23:01,2024-06-16 19:20:46
Delhi,haze,42.05000000000001,41.24000000000001,42.05000000000001,42.05000000000001,998,17,4.12,2024-06-16 19:17:12,2024-06-16 05:23:01,2024-06-16 19:20:46
Delhi,haze,41.05000000000001,40.21000000000004,41.05000000000001,41.05000000000001,998,18,3.09,2024-06-16 20:17:12,2024-06-16 05:23:01,2024-06-16 19:20:46
Delhi,haze,40.05000000000001,40.80000000000001,40.05000000000001,40.05000000000001,1002,24,3.09,2024-06-17 09:54:09,2024-06-17 05:23:08,2024-06-17 19:21:03
