City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Chennai,haze,32.31,39.31,31.590000000000032,33.379999999999995,1003,73,5.14,2024-06-16 18:38:21,2024-06-16 05:42:52,2024-06-16 18:36:26
Chennai,haze,32.10000000000002,39.10000000000002,31.590000000000032,32.27000000000004,1003,73,4.63,2024-06-16 19:16:00,2024-06-16 05:42:52,2024-06-16 18:36:26
Chennai,haze,31.58000000000004,38.58000000000004,31.03000000000003,31.99000000000001,1004,74,6.17,2024-06-16 20:11:59,2024-06-16 05:42:52,2024-06-16 18:36:26
