City,Description,Temperature (F),Feels Like (F),Minimun Temp (F),Maximum Temp (F),Pressure,Humidty,Wind Speed,Time of Record,Sunrise (Local Time),Sunset (Local Time)
Mumbai,haze,29.99000000000001,36.01000000000005,29.99000000000001,30.94,1004,74,4.63,2024-06-16 18:40:47,2024-06-16 06:01:16,2024-06-16 19:17:29
Mumbai,haze,29.99000000000001,36.01000000000005,29.99000000000001,29.99000000000001,1004,74,3.6,2024-06-16 19:19:36,2024-06-16 06:01:16,2024-06-16 19:17:29
Mumbai,haze,29.99000000000001,36.01000000000005,29.99000000000001,29.99000000000001,1005,74,3.09,2024-06-16 20:14:28,2024-06-16 06:01:16,2024-06-16 19:17:29
Mumbai,haze,30.99000000000001,37.99000000000001,30.99000000000001,31.939999999999998,1006,84,3.09,2024-06-17 09:55:56,2024-06-17 06:01:25,2024-06-17 19:17:44
